[2013-09-12 23:35:20,773](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:20] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:35:44,704](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:44] "GET / HTTP/1.1" 200 -
[2013-09-12 23:35:44,755](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:44] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:35:44,760](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:44] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:35:44,763](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:44] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:35:44,767](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:44] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:35:44,770](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:44] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:38:42,919](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:38:42] "GET / HTTP/1.1" 200 -
[2013-09-12 23:38:42,973](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:38:42] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:38:42,976](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:38:42] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:38:42,978](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:38:42] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:38:42,981](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:38:42] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:38:42,985](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:38:42] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:38:43,745](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:38:43] "GET /static/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 -
[2013-09-12 23:41:03,352](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:03] "GET / HTTP/1.1" 200 -
[2013-09-12 23:41:03,397](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:03] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:41:03,400](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:03] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:41:03,403](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:03] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:41:03,415](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:03] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:41:03,417](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:03] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:41:29,696](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:29] "GET / HTTP/1.1" 200 -
[2013-09-12 23:41:29,748](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:29] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:41:29,750](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:29] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:41:29,751](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:29] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:41:29,752](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:29] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:41:29,758](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:41:29] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:46:40,452](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:46:40] "GET / HTTP/1.1" 200 -
[2013-09-12 23:46:40,518](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:46:40] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:46:40,525](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:46:40] "GET /static/js/jQuery.js HTTP/1.1" 304 -
